repository,pr_number,title,description_length,description_preview,author,state,created_at,merged_at,closed_at,time_to_merge_hours,head_branch,base_branch,labels,milestone,assignees,reviews_count,approvals_count,changes_requested_count,unique_reviewers,comments_count,commits_count,files_changed,total_reactions,additions,deletions,net_lines,url,enhancement_failed
vinted/dataverse-vintedgo-dbt,7183,chore: deprecate carrier contract prices changes,276,"model is not being used ([slack](https://vinted.slack.com/archives/C041KP1LXGS/p1770095739338039?thread_ts=1770090911.036139&cid=C041KP1LXGS)). therefore, in the event of a test failure, it is more pr...",jeremychia,MERGED,2026-02-03T05:16:25Z,2026-02-03T07:49:26Z,2026-02-03T07:49:26Z,2.5502777777777776,chore--deprecate-carrier-contract-prices-changes,main,vgo_finance,,,1,1,0,jsakalyte,3,1,5,0,0,703,-703,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7183,False
vinted/dataverse-vintedgo-finance,211,fix: hardcode seconds to 00 for royal mail API compatibility,1298,"## Fix Royal Mail API date formatting causing 400 Bad Request errors

### Problem
Royal Mail API was returning 400 Bad Request errors when requesting reconciliation reports, causing processing failure...",jeremychia,MERGED,2026-02-03T01:55:53Z,2026-02-03T07:03:24Z,2026-02-03T07:03:24Z,5.125277777777778,fix--hardcode-seconds-to-00-for-royal-mail-API-compatibility,main,,,,1,1,0,jsakalyte,0,1,1,0,3,1,2,https://github.com/vinted/dataverse-vintedgo-finance/pull/211,False
vinted/dataverse-vintedgo-finance,210,fix: MEC cutoff logic erroneously skips weekends,2957,"## Summary

This PR enhances the Royal Mail API reconciliation report's Month-End Close (MEC) cutoff logic with improved test coverage, better code organization, and comprehensive validation of busi...",jeremychia,MERGED,2026-02-03T01:26:14Z,2026-02-03T07:03:30Z,2026-02-03T07:03:30Z,5.621111111111111,fix-mec-cutoff-skipping-weekends,main,,,,5,1,0,jsakalyte|copilot-pull-request-reviewer|jeremychia,0,3,3,0,1008,9,999,https://github.com/vinted/dataverse-vintedgo-finance/pull/210,False
vinted/dataverse-vintedgo-dbt,7177,chore: drop from carrier invoices total,0,,jeremychia,CLOSED,2026-02-02T15:31:27Z,,2026-02-02T15:45:18Z,,chore--drop-from-carrier-invoices-total,main,vgo_finance,,,1,1,0,jsakalyte,0,1,1,0,12,0,12,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7177,False
vinted/dataverse-vintedgo-dbt,7174,chore: use current_date() instead of data interval end,214,"too prone to errors when using `data_interval_end`. to use `current_date()` because the intention is to bypass the required partition filter configuration, rather than to really have it up to the data...",jeremychia,MERGED,2026-02-02T13:59:24Z,2026-02-02T14:52:16Z,2026-02-02T14:52:16Z,0.8811111111111111,chore--use-current_date-instead-of-data-interval-end,main,vgo_finance,,,1,1,0,jsakalyte,3,2,2,0,3,4,-1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7174,False
vinted/dataverse-vintedgo-dbt,7169,chore: drop from other tables (duplicates),60,there are possible duplicates in others. retaking everything,jeremychia,MERGED,2026-02-02T09:37:18Z,2026-02-02T09:44:53Z,2026-02-02T09:44:53Z,0.12638888888888888,chore--drop-from-other-tables-duplicates,main,vgo_finance,,,1,1,0,kimjunn,0,1,1,0,23,0,23,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7169,False
vinted/dataverse-vintedgo-dbt,7168,chore: retake snapshot for revenue recognition,133,"<img width=""1064"" height=""108"" alt=""image"" src=""https://github.com/user-attachments/assets/c272021a-2090-49f4-a4b6-5b61b9a16360"" />
",jeremychia,MERGED,2026-02-02T09:26:29Z,2026-02-02T09:29:24Z,2026-02-02T09:29:24Z,0.04861111111111111,chore--retake-snapshot,main,vgo_finance,,,1,1,0,jsakalyte,0,1,1,0,11,0,11,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7168,False
vinted/dataverse-vintedgo-dbt,7164,chore: add columns for new schema mart_historic_shipment_legs_revenue_recognition,373,"```
Encountered an error while running operation: Database Error
Column return_to_sender_event_at is not present in table vi-dv-prod-data.marts.mart_historic_shipment_legs_revenue_recognition at [47...",jeremychia,MERGED,2026-02-02T07:51:07Z,2026-02-02T07:57:10Z,2026-02-02T07:57:10Z,0.10083333333333333,chore--add-columns-for-new-schema-mart_historic_shipment_legs_revenue_recognition,main,vgo_finance,,,1,1,0,jsakalyte,0,1,1,0,11,0,11,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7164,False
vinted/dataverse-vintedgo-dbt,7163,chore: add columns for new schema in historic carrier contract prices,465,"```
Encountered an error while running operation: Database Error
Column shipment_purchase_rate_from_carrier_excl_vat_price_list_currency is not present in table vi-dv-prod-data.marts.mart_historic_c...",jeremychia,MERGED,2026-02-02T07:43:44Z,2026-02-02T07:51:52Z,2026-02-02T07:51:52Z,0.13555555555555557,chore--add-columns-for-new-schema-in-historic-carrier-contract-prices,main,vgo_finance,,,1,1,0,jsakalyte,0,1,1,0,20,0,20,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7163,False
vinted/dataverse-vintedgo-dbt,7162,feat: prep_retail_order_addresses to combine new and old address sources,1429,"# Fix Missing Address Codes in Retail Orders Mart

## Problem
The `mart_retail_orders` table lacked complete address coverage following the removal of the legacy `dim_shipping_addresses` source. Th...",jeremychia,MERGED,2026-02-02T05:57:18Z,2026-02-02T07:37:43Z,2026-02-02T07:37:43Z,1.6736111111111112,fix-missing-address-codes,main,vgo_d2c,,,6,1,0,ArunasKlimas|jsakalyte|copilot-pull-request-reviewer|jeremychia,4,13,10,0,219,31,188,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7162,False
vinted/dataverse-vintedgo-dbt,7161,chore: correct name for slack tag (deivydas.stancikas),992,"**What was done**
Fixed Slack tag for team member: Corrected the Slack username reference for deivydas.stancikas in alerting configuration

**Changes**
Updated [scheduler.yaml:8](vscode-file://vsc...",jeremychia,MERGED,2026-02-02T03:05:04Z,2026-02-02T07:01:11Z,2026-02-02T07:01:11Z,3.935277777777778,chore--correct-name-for-slack-tag-deivydas.stancikas,main,vgo_recommender|scheduler,,,1,1,0,ArunasKlimas,3,1,1,0,1,1,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7161,False
vinted/dataverse-vintedgo-dbt,7145,chore: swap sources of address data for retail orders,303,"* we learnt that retail orders ADDRESSES was created in oct 2025 ([slack thread](https://vinted.slack.com/archives/C02TNA89TTM/p1769685194944349?thread_ts=1769684651.466019&cid=C02TNA89TTM))
* this w...",jeremychia,MERGED,2026-01-30T11:10:05Z,2026-02-02T01:47:23Z,2026-02-02T01:47:23Z,62.62166666666667,VGOFIN-1325-d-2-c-checkout-financial-actions-report,main,vgo_d2c,,,3,1,0,kimjunn|copilot-pull-request-reviewer|jeremychia,3,4,3,0,15,34,-19,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7145,False
vinted/dataverse-vintedgo-dbt,7141,feat: introduce mart which is on a carrier leg and invoice granularity,3587,"* request from [VGOFIN-1403](https://vinted.atlassian.net/browse/VGOFIN-1403).
* because `mart_shipment_legs_invoice_cost_and_revenue` is on a shipment carrier leg ID granularity, we need another mar...",jeremychia,MERGED,2026-01-30T10:08:01Z,2026-02-05T09:07:42Z,2026-02-05T09:07:43Z,142.9947222222222,VGOFIN-1403-actual-costs-mapping-logic-to-invoice-id-in-mart-shipment-legs-invoice-cost-and-revenue,main,vgo_finance,,,3,1,0,jsakalyte|copilot-pull-request-reviewer|jeremychia,3,8,7,0,489,41,448,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7141,False
vinted/dataverse-vintedgo-dbt,7136,fix: unique key because of nulls in int_carrier_contract_prices_v1,225,"this is a composite key. however, the issue is sometimes there aren't any values for carrier service packages and therefore it shows `null`, which causes the duplicates. 

this should fix it. a full...",jeremychia,MERGED,2026-01-30T08:00:10Z,2026-01-30T08:56:38Z,2026-01-30T08:56:38Z,0.9411111111111111,fix--unique-key-because-of-nulls-in-int_carrier_contract_prices_v1,main,vgo_finance,,,1,1,0,jsakalyte,3,1,1,0,5,2,3,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7136,False
vinted/dataverse-vintedgo-dbt,7133,feat: Add Retail Order Address Models with PII Management and Retention Policies,1252,"**Summary**
This PR implements comprehensive retail order address handling following established dbt patterns in the codebase. It includes staging models, PII separation, retention triggers, deletion...",jeremychia,MERGED,2026-01-29T14:26:23Z,2026-01-30T06:51:49Z,2026-01-30T06:51:49Z,16.42388888888889,feat--retail-order-addresses,main,vgo_d2c|docs,,,2,1,0,jsakalyte|copilot-pull-request-reviewer,3,20,28,0,757,32,725,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7133,False
vinted/dataverse-vintedgo-dbt,7120,feat: parse through dimension field in drop_off_option_parcels,1316,"**context**

the dimension field is useful for containing information about min, max dimension of parcels expected. some sample data:

```sql
select distinct dimension, dimension_format
from `dv...",jeremychia,MERGED,2026-01-29T07:55:55Z,2026-01-29T11:06:19Z,2026-01-29T11:06:19Z,3.1733333333333333,feat--parse-through-dimension-field-in-drop_off_option_parcels,main,vgo_finance,,,1,1,0,jsakalyte,3,8,11,0,614,149,465,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7120,False
vinted/dataverse-vintedgo-dbt,7117,chore: adjust last modified models,437,"1. add model which was created in #6965
2. include model into 'only runs on monday', so it is not misleading that models did not run
3. refactoring for better maintainability.

this is the basis o...",jeremychia,MERGED,2026-01-29T05:18:20Z,2026-01-29T11:17:38Z,2026-01-29T11:17:38Z,5.988333333333333,chore-adjust-last-modified-models,main,vgo_finance,,,1,1,0,kimjunn,3,5,1,0,57,7,50,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7117,False
vinted/dataverse-vintedgo-dbt,7116,"chore: add visibility: public for prep_marketplace_shipments_and_statuses, used cross-project",280,"used in vgo_finance, as introduced in https://github.com/vinted/dataverse-vintedgo-dbt/pull/6965.

adding `access-level: vintedgo` was one step, however, `visibility: public` is needed because this ...",jeremychia,MERGED,2026-01-29T05:05:19Z,2026-01-29T07:16:55Z,2026-01-29T07:16:55Z,2.1933333333333334,"chore--add-visibility--public-for-prep_marketplace_shipments_and_statuses,-used-cross-project",main,vgo_general,,,1,1,0,geoevl,3,1,1,0,1,0,1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7116,False
vinted/dataverse-vintedgo-dbt,7091,"Revert ""chore: increase scope of addresses in mart_retail_orders""",153,"Reverts vinted/dataverse-vintedgo-dbt#7049, as the values should only be for D2C customers. if there are marketplace customers in here this is incorrect.",jeremychia,MERGED,2026-01-28T10:11:12Z,2026-01-28T10:25:23Z,2026-01-28T10:25:23Z,0.2363888888888889,revert-7049-vgofin-1412-try-2,main,vgo_d2c,,,1,1,0,kimjunn,3,1,1,0,1,1,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7091,False
vinted/dataverse-vintedgo-dbt,7068,feat: use disabled_at to discern what to filter for package configs,1070,"there was a warning which was thrown because there were some configurations which were missing. 

<img width=""576"" height=""301"" alt=""image"" src=""https://github.com/user-attachments/assets/77ab855b-5...",jeremychia,MERGED,2026-01-27T10:45:57Z,2026-01-27T11:33:08Z,2026-01-27T11:33:09Z,0.7863888888888889,feat--use-disabled_at-to-discern-what-to-filter-for-package-configs,main,vgo_finance,,,1,1,0,jsakalyte,3,2,2,0,15,6,9,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7068,False
vinted/dataverse-vintedgo-dbt,7049,chore: increase scope of addresses in mart_retail_orders,2783,"follow-up from #7047. the full-join was not successful. it seems like this is because the customer_id on some addresses is = 1, whereas there was a filter for `customer_id=12`.

<img width=""396"" hei...",jeremychia,MERGED,2026-01-26T12:08:33Z,2026-01-26T12:24:06Z,2026-01-26T12:24:06Z,0.25916666666666666,vgofin-1412-try-2,main,vgo_d2c,,,1,1,0,jsakalyte,3,1,1,0,1,1,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7049,False
vinted/dataverse-vintedgo-dbt,7047,chore: change join used for `mart_retail_orders`,3191,"* `from_country` and `to_country` was missing for some retail orders.
* when checking, the `from_address_id` and `to_address_id` could be found in the table with the corresponding country code, there...",jeremychia,MERGED,2026-01-26T11:21:55Z,2026-01-26T11:44:12Z,2026-01-26T11:44:12Z,0.3713888888888889,VGOFIN-1412-d-2-c-compensations-missing-from-country,main,vgo_d2c,,,1,1,0,jsakalyte,3,2,2,0,15,1,14,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7047,False
vinted/dataverse-vintedgo-dbt,7032,feat: add return to sender timestamps for flagging,259,"([slack thread](https://vinted.slack.com/archives/G01PZBW4Q9Y/p1769080548965539?thread_ts=1768569796.633139&cid=G01PZBW4Q9Y))
<img width=""577"" height=""202"" alt=""image"" src=""https://github.com/user-at...",jeremychia,MERGED,2026-01-23T10:40:59Z,2026-01-23T11:35:04Z,2026-01-23T11:35:04Z,0.9013888888888889,feat--add-return-to-sender-timestamps-for-flagging,main,vgo_finance,,,2,1,0,jsakalyte|copilot-pull-request-reviewer,3,4,12,0,80,1,79,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7032,False
vinted/dataverse-vintedgo-dbt,7029,chore: add DHL-EXPRESS to carrier_codes mapping,382,"> Failure in test accepted_values_dim_prep_shipment_carrier_legs_joining_keys_carrier_code___dbt_utils_get_column_values_table_ref_carrier_codes_column_backend_carrier_code_
> 
> Got 1 result, confi...",jeremychia,MERGED,2026-01-23T07:59:58Z,2026-01-23T08:34:07Z,2026-01-23T08:34:07Z,0.5691666666666667,VGOFIN-1443-add-dhl-express-to-mapping-table,main,vgo_finance,,,1,1,0,jsakalyte,3,1,2,0,8,4,4,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7029,False
vinted/dataverse-vintedgo-dbt,7020,feat: add parcel dimension configurations to each shipment,226,"in order to be able to join the price lists on dimensions, i will need to add these columns for parcel width/height/length in:

```sh
dbt run -s pii__int_shipment_legs_information int_carrier_legs_...",jeremychia,MERGED,2026-01-22T13:49:57Z,2026-01-22T15:37:59Z,2026-01-22T15:37:59Z,1.8005555555555555,feat--add-parcel-dimension-configurations-to-each-shipment,main,vgo_finance,,,1,1,0,jsakalyte,3,1,7,0,60,9,51,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7020,False
vinted/dataverse-vintedgo-finance,206,fix: permission error on the DAG,351,"still getting this error:
> google.api_core.exceptions.Forbidden: 403 POST https://bigquery.googleapis.com/bigquery/v2/projects/vi-dv-prod-data/queries?prettyPrint=false: Access Denied: Project vi-dv...",jeremychia,MERGED,2026-01-21T20:03:08Z,2026-01-22T10:19:56Z,2026-01-22T10:19:56Z,14.28,fix--permission-error-on-the-DAG,main,,,,1,1,0,jsakalyte,0,1,2,0,19,5,14,https://github.com/vinted/dataverse-vintedgo-finance/pull/206,False
vinted/dataverse-vintedgo-dbt,7007,feat: introduce package sizes into the price lists + unit tests,472,"builds on the changes introduced in #7001 and #6976 to introduce this information to `int_carrier_contract_prices_v1`. more changes to follow.

> [!NOTE]
> there is a many-to-many relationship betw...",jeremychia,MERGED,2026-01-21T16:33:35Z,2026-01-27T13:50:11Z,2026-01-27T13:50:11Z,141.27666666666667,feat--introduce-package-sizes-into-the-price-lists-+-unit-tests,main,vgo_finance,,,1,1,0,jsakalyte,3,16,13,0,435,87,348,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7007,False
vinted/dataverse-vintedgo-dbt,7001,feat: introduce intermediate model for package types,309,"this is component [3] of the following message ([slack thread](https://vinted.slack.com/archives/C08AR2J6G2H/p1768384382202919?thread_ts=1768384378.856999&cid=C08AR2J6G2H)):

<img width=""570"" height...",jeremychia,MERGED,2026-01-21T13:15:14Z,2026-01-21T13:58:03Z,2026-01-21T13:58:03Z,0.7136111111111111,feat--introduce-intermediate-model-for-package-types,main,vgo_finance,,,1,1,0,jsakalyte,3,1,4,0,139,0,139,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7001,False
vinted/dataverse-vintedgo-dbt,6990,"feat: create mart for no detail files, which joins information from dim carrier invoice upload to produce invoice from/to mapping",2930,"> **broader context:** 
> 
> i am trying to map the invoice IDs in dim_carrier_invoices_uploaded, which takes the information directly from the specification files uploaded, to what is present in th...",jeremychia,MERGED,2026-01-20T15:44:53Z,2026-01-22T10:39:48Z,2026-01-22T10:39:48Z,42.915277777777774,"feat--create-mart-for-no-detail-files,-which-joins-information-from-dim-carrier-invoice-upload-to-produce-invoice-from/to-mapping",main,vgo_finance,,,3,1,0,jsakalyte|jeremychia,3,11,11,0,290,37,253,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6990,False
vinted/dataverse-vintedgo-dbt,6988,chore: standardise invoice ID for postnord-dk to remove leading zeroes,3827,"in the invoice review google sheet ([source](https://docs.google.com/spreadsheets/d/1TUdJ4kRTZy70jfK7RyRkvSYUK_hfqNFqhlrI-MVagBw/edit?gid=0#gid=0)), POSTNORD-DK files sometimes have leading zeroes. th...",jeremychia,MERGED,2026-01-20T15:13:51Z,2026-01-21T11:08:34Z,2026-01-21T11:08:34Z,19.911944444444444,chore--standardise-invoice-ID-for-postnord-dk-to-remove-leading-zeroes,main,vgo_finance,,,1,1,0,jsakalyte,3,3,5,0,33,24,9,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6988,False
vinted/dataverse-vintedgo-dbt,6987,chore: clean unicodes from invoice number in invoice review main file,3815,"in the invoice review google sheet ([source](https://docs.google.com/spreadsheets/d/1TUdJ4kRTZy70jfK7RyRkvSYUK_hfqNFqhlrI-MVagBw/edit?gid=0#gid=0)), there are some files (from UPS-IT) which have unico...",jeremychia,MERGED,2026-01-20T15:08:19Z,2026-01-21T09:34:19Z,2026-01-21T09:34:19Z,18.433333333333334,chore--clean-unicodes-from-invoice-number-in-invoice-review-main-file,main,vgo_finance,,,1,1,0,jsakalyte,3,1,1,0,1,1,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6987,False
vinted/dataverse-vintedgo-dbt,6986,chore: change invoice_id from relais colis all to upper-case,3431,"in the invoice review google sheet ([source](https://docs.google.com/spreadsheets/d/1TUdJ4kRTZy70jfK7RyRkvSYUK_hfqNFqhlrI-MVagBw/edit?gid=0#gid=0)), RELAIS-COLIS files all have a capitalised invoice I...",jeremychia,MERGED,2026-01-20T14:55:52Z,2026-01-21T09:16:48Z,2026-01-21T09:16:48Z,18.34888888888889,chore--change-invoice_id-from-relais-colis-all-to-upper-case,main,vgo_finance,,,1,1,0,jsakalyte,3,1,1,0,3,3,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6986,False
vinted/dataverse-vintedgo-dbt,6982,chore: change unmatched invoice rows back to table,1124,* the incremental build of unmatched invoice rows keeps leaving cases where the reporting carrier/country codes are `null`. this is not acceptable as the reporting information is being used by FDC to ...,jeremychia,MERGED,2026-01-20T12:25:47Z,2026-01-20T14:00:30Z,2026-01-20T14:00:30Z,1.5786111111111112,chore--change-unmatched-invoice-rows-back-to-table,main,vgo_finance,,,1,1,0,jsakalyte,3,5,5,0,18,7,11,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6982,False
vinted/dataverse-vintedgo-dbt,6976,feat: include drop off options parcels carrier services,4072,"# Summary [Required]
_Describe What & why is being changed. If applicable, how the change was validated & tested. Add links to Jira, RFCs, PRs, Slack, Lucid, etc., if relevant.
See GitHub best pract...",jeremychia,MERGED,2026-01-20T08:47:34Z,2026-01-20T14:15:18Z,2026-01-20T14:15:18Z,5.4622222222222225,VGOFIN-1438-include-drop-off-options-parcels-carrier-services,main,vgo_finance,,,2,1,0,jsakalyte|copilot-pull-request-reviewer,3,12,11,0,413,0,413,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6976,False
vinted/dataverse-vintedgo-finance,204,chore: use impersonation and run with another SA (shipment joins failures),44,"references changes in #198, #200, #201, #202",jeremychia,MERGED,2026-01-16T16:12:47Z,2026-01-20T07:44:12Z,2026-01-20T07:44:12Z,87.52361111111111,chore--use-impersonation-and-run-with-another-SA-(shipment-joins-failure-alerts),main,,,,3,1,0,jsakalyte|copilot-pull-request-reviewer,0,2,6,0,117,148,-31,https://github.com/vinted/dataverse-vintedgo-finance/pull/204,False
vinted/dataverse-vintedgo-dbt,6961,chore: change execution format due to access issues,148,"similar to: https://github.com/vinted/dataverse-vintedgo-dbt/pull/6924
to merge after https://github.com/vinted/dataverse-vintedgo-finance/pull/204",jeremychia,MERGED,2026-01-16T15:59:41Z,2026-01-20T12:44:23Z,2026-01-20T12:44:23Z,92.745,chore--change-execution-format-due-to-access-issues,main,vgo_finance|scheduler,,,1,1,0,jsakalyte,3,1,1,0,1,1,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6961,False
vinted/dataverse-vintedgo-dbt,6960,fix: invoice ID parsing for HR-POST,527,"invoice ID parsing expects 3,4,5 digits in the file name. this is not the case for the latest uploaded invoices, which only have 2 digits. this PR amends the`regex`. [slack thread here](https://vinted...",jeremychia,MERGED,2026-01-16T14:44:41Z,2026-01-20T10:45:35Z,2026-01-20T10:45:35Z,92.015,fix--invoice-ID-parsing,main,vgo_finance,,,1,1,0,jsakalyte,3,7,2,0,4,6,-2,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6960,False
vinted/dataverse-vintedgo-dbt,6958,chore: include vintedgo iberia for forced remapping,279,"from this [slack thread](https://vinted.slack.com/archives/C09TRRLPM6F/p1768572937907089?thread_ts=1768230968.602749&cid=C09TRRLPM6F), treatment of carrier code shipment level `VINTEDGO-IBERIA` should...",jeremychia,MERGED,2026-01-16T14:21:55Z,2026-01-16T16:04:54Z,2026-01-16T16:04:54Z,1.716388888888889,chore--include-vintedgo-iberia-for-forced-remapping,main,vgo_finance,,,1,1,0,jsakalyte,3,2,1,0,32,32,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6958,False
